"","gene_id","locus_tag","norm_count","raw_count","K12_DH10B_GSE98890"
"844","ftn","ECDH10B_2046",93.7007240312746,579.5,1
"845","ftsA","ECDH10B_0076",260.36589373031,1180,1
"846","ftsB","ECDH10B_2916",18.8140189916257,86.5,1
"847","ftsE","ECDH10B_3637",90.4031088581477,412,1
"848","ftsI","ECDH10B_0066",76.8774541618494,397,1
"849","ftsK","ECDH10B_0960",454.913675826893,2185.5,1
"850","ftsL","ECDH10B_0065",8.66987342660947,46.5,1
"851","ftsN","ECDH10B_4122",372.384998567156,1831.5,1
"852","ftsQ","ECDH10B_0075",122.271317689087,548,1
"853","ftsW","ECDH10B_0071",81.7667166490344,311.5,1
"854","ftsX","ECDH10B_3636",265.126631961361,1227,1
"855","ftsY","ECDH10B_3638",539.70352282247,2394.5,1
"856","ftsZ","ECDH10B_0077",1112.16363928415,5467.5,1
"857","fucA","ECDH10B_2969",2.48991275400107,14,1
"858","fucI","ECDH10B_2971",42.2606337869975,237.5,1
"859","fucK","ECDH10B_2972",17.3486729128148,105,1
"860","fucO","ECDH10B_2968",58.2823315327603,349,1
"861","fucP","ECDH10B_2970",17.2820923066527,98,1
"862","fucR","ECDH10B_2974",86.2311766836864,480,1
"863","fucU","ECDH10B_2973",8.12550675358453,49,1
"864","fumA","ECDH10B_1745",860.874569313793,4056,1
"865","fumB","ECDH10B_4314",74.8470935266894,464.5,1
"866","fumC","ECDH10B_1744",108.77895329587,536.5,1
"867","fur","ECDH10B_0748",359.07379419162,1651,1
"868","fusA","ECDH10B_3515",20904.1984136044,90112,1
"869","fxsA","ECDH10B_4333",68.2137110307033,433,1
"870","gabP","ECDH10B_2830",9.80342798505364,44,1
"871","gabT","ECDH10B_2829",59.422589129913,256.5,1
"872","gadA","ECDH10B_3694",9.83541586327598,54,1
"873","gadB","ECDH10B_1624",11.839918915677,59,1
"874","gadC","ECDH10B_1623",11.2187431520355,49,1
"875","gadE","ECDH10B_3688",57.8597860771613,309,1
"876","gadW","ECDH10B_3691",32.088407618335,168,1
"877","gadX","ECDH10B_3693",55.0457054375307,329.5,1
"878","gadY","ECDH10B_3692",2.51297457262757,12,1
"879","galE","ECDH10B_0827",330.550244767088,1787,1
"880","galF","ECDH10B_2192",548.019081677285,2682.5,1
"881","galK","ECDH10B_0825",67.3264037568285,337.5,1
"882","galM","ECDH10B_0823",145.018645205342,683,1
"883","galR","ECDH10B_3009",50.7064011516355,271.5,1
"884","galS","ECDH10B_2308",63.3596140147032,343,1
"885","galT","ECDH10B_0826",139.709442112276,715.5,1
"886","galU","ECDH10B_1296",307.081140896335,1465.5,1
"887","gapA","ECDH10B_1917",10235.0065660165,53338,1
"888","gapC","ECDH10B_1543",365.006396069215,1730.5,1
"889","garD","ECDH10B_3301",55.0994527095208,344,1
"890","garK","ECDH10B_3297",25.3103330007115,123.5,1
"891","garL","ECDH10B_3299",22.6359256976985,125.5,1
"892","garP","ECDH10B_3300",33.8431379404207,175.5,1
"893","garR","ECDH10B_3298",30.3580415397345,152,1
"894","gatA","ECDH10B_2247",127.368675311109,668,1
"895","gatB","ECDH10B_2246",5.23982672277202,31,1
"896","gatC","ECDH10B_2245",160.957751417809,980.5,1
"897","gatD","ECDH10B_2244",57.6535321343816,320.5,1
"898","gatY","ECDH10B_2249",3275.07115646232,17405,1
"899","gcd","ECDH10B_0104",89.4631658227264,353,1
"900","gcl","ECDH10B_0463",7.68622068923751,36,1
"901","gcvA","ECDH10B_2977",58.171120628619,282,1
"902","gcvB","ECDH10B_2978",65.239881914376,346,1
"903","gcvH","ECDH10B_3078",361.580256639954,1695.5,1
"904","gcvP","ECDH10B_3077",757.38976275593,3392.5,1
"905","gcvR","ECDH10B_2645",102.451695651907,504,1
"906","gdhA","ECDH10B_1899",422.914719718932,2080,1
"907","gfcA","ECDH10B_1057",7.38009583721465,37,1
"908","gfcB","ECDH10B_1056",0.203649093062341,1.5,1
"909","gfcC","ECDH10B_1055",0.271532124083121,2,1
"910","gfcD","ECDH10B_1054",2.5693266943351,13.5,1
"911","gfcE","ECDH10B_1053",3.4415776131507,14.5,1
