"","gene_id","Locus_tag","norm_count","raw_count","BW25113_GSE73673","BW25113_GSE85914"
"179","lpxB","b0182",18.7901515332273,43.5,1,1
"180","rnhB","b0183",29.1858526188633,33.5,1,1
"181","dnaE","b0184",17.609033250876,48.5,1,1
"182","accA","b0185",87.6853069185704,106.5,1,1
"183","ldcC","b0186",57.8348178096007,80.5,1,1
"184","yaeR","b0187",221.408805757165,214.5,1,1
"185","tilS","b0188",7.69253145266566,14.5,1,1
"186","rof","b0189",85.5074218710206,89,1,1
"187","yaeQ","b0190",15.9075043230417,18.5,1,1
"188","arfB","b0191",30.6823416454766,34,1,1
"189","nlpE","b0192",39.8430093972005,47,1,1
"190","yaeF","b0193",5.82117767840899,6.5,1,1
"191","proS","b0194",47.1226741180645,115,1,1
"192","tsaA","b0195",6.99469376150863,10.5,1,1
"193","rcsF","b0196",145.843393372807,144.5,1,1
"194","metQ","b0197",142.792690973452,256,1,1
"195","metI","b0198",130.38675461438,137,1,1
"196","metN","b0199",16.8823286482735,30,1,1
"197","gmhB","b0200",28.9682619769421,41,1,1
"198","rrsH","b0201",0,0,NA,1
"199","ileV","b0202",34.6819715754969,33,NA,1
"200","alaV","b0203",0,0,NA,1
"201","rrlH","b0204",1.05096883562112,1,NA,1
"202","rrfH","b0205",0,0,NA,1
"203","aspU","b0206",9.45871952059005,9,NA,1
"204","dkgB","b0207",13.382204940221,18.5,1,1
"205","yafC","b0208",28.158567919849,33,1,1
"206","yafD","b0209",131.137649612479,153.5,1,1
"207","yafE","b0210",44.3205569550072,48,1,1
"208","mltD","b0211",56.6426672623938,125.5,1,1
"209","gloB","b0212",29.3753257117183,37.5,1,1
"210","yafS","b0213",10.2684135776832,16,1,1
"211","rnhA","b0214",39.077703834163,43.5,1,1
"212","dnaQ","b0215",169.148149350382,174,1,1
"213","aspV","b0216",19.9684078768012,19,NA,1
"214","yafT","b0217",2.14930594445599,3,1,1
"215",NA,"b0218",0,0,1,NA
"216","yafV","b0219",17.6407622192822,24,1,1
"217","ivy","b0220",39.9664503769793,89,1,1
"218","fadE","b0221",61.6375606282329,62.5,1,1
"219","gmhA","b0222",73.9660154033359,92,1,1
"220","yafJ","b0223",269.351482282436,274,1,1
"221","yafK","b0224",140.820506741176,158.5,1,1
"222","yafQ","b0225",368.165885127334,358,1,1
"223","dinJ","b0226",852.236555729839,820,1,1
"224","yafL","b0227",2.13791084302629,3,1,1
"225","rayT","b0228",13.7225501493813,15,1,1
"226",NA,"b0229",0.119910572613514,3,1,NA
"227",NA,"b0230",0.0947365464275156,2,1,NA
"228","dinB","b0231",15.3469676318584,17,1,1
"229","yafN","b0232",34.2586098639184,35,1,1
"230","yafO","b0233",24.7817050379257,25.5,1,1
"231","yafP","b0234",10.550537438704,11,1,1
"232",NA,"b0235",0.0473682732137578,1,1,NA
"233",NA,"b0236",0.163396329971372,4,1,NA
"234","pepD","b0237",119.635567158137,211.5,1,1
"235","gpt","b0238",63.2828000909777,65.5,1,1
"236","frsA","b0239",55.3578518307178,73.5,1,1
"237",NA,"b0240",0.215839030704325,6,1,NA
"238","phoE","b0241",1.19307365526239,4,1,1
"239","proB","b0242",78.0984864959054,82,1,1
"240","proA","b0243",165.008473497582,191.5,1,1
"241","thrW","b0244",42.0387534248447,40,NA,1
"242","ykfI","b0245",0.995248866478254,12,1,1
"243","yafW","b0246",0.585439704117316,3,1,1
"244","ykfG","b0247",1.074652972228,1.5,1,1
"245","yafX","b0248",0.0479642290454056,1.5,1,1
"246","ykfF","b0249",1.57645325343168,1.5,1,1
"247","ykfB","b0250",535.550319913945,512.5,1,1
"248","yafY","b0251",26.883642709168,28.5,1,1
"249","yafZ","b0252",0.0236841366068789,0.5,1,1
"250","ykfA","b0253",11.6790778748667,14.5,1,1
"251","perR","b0254",6.4242336967611,9,1,1
"252","insI1","b0256",8.9332351027795,8.5,1,1
"253",NA,"b0258",0.490188989914116,12,1,NA
"254","insH1","b0259",98.3677088368066,96,1,1
"255","mmuP","b0260",2.66827117154564,3.5,1,1
"256","mmuM","b0261",11.0831370030671,12.5,1,1
"257","afuC","b0262",3.26082602221551,7.5,1,1
"258",NA,"b0263",0.040849082492843,1,1,NA
"259","insB1","b0264",1.5968777946781,2,1,1
"260","insA","b0265",25.7487364727174,24.5,1,1
"261",NA,"b0266",0.0473682732137578,1,1,NA
"262","yagA","b0267",0.215839030704325,7.5,1,1
"263","yagE","b0268",2.65110622565967,3,1,1
"264","yagF","b0269",2.14990190028764,4,1,1
"265","yagG","b0270",4.25183957152987,5.5,1,1
"266","yagH","b0271",2.22035835427663,4.5,1,1
"267","yagI","b0272",14.2600256244532,15.5,1,1
"268","argF","b0273",14.1787620488315,38,1,1
"269","insB1","b0274",2.51598215076707,24.5,1,1
"270","insA","b0275",24.1722832192857,23,1,1
"271",NA,"b0276",0.040849082492843,1,1,NA
"272","yagK","b0277",1.13490623645058,3,1,1
"273","yagL","b0278",0.059955286306757,1.5,1,1
"274","yagM","b0279",0.0719463435681084,2,1,1
"275","yagN","b0280",149.786743212616,143,1,1
"276","intF","b0281",58.3343240315684,69,1,1
"277",NA,"b0282",0.189473092855031,4,1,NA
"278","paoD","b0283",5.87625705400696,9.5,1,1
"279","paoC","b0284",15.4788692617332,22,1,1
"280","paoB","b0285",18.9884914510007,19.5,1,1
"281","paoA","b0286",13.2081628550846,14,1,1
"282","yagU","b0287",73.1142804192358,72,1,1
"283","ykgJ","b0288",3.38498079820683,34.5,1,1
"284","ecpE","b0289",4.28557350747016,6,1,1
"285","ecpD","b0290",12.7137487336855,14.5,1,1
"286","ecpC","b0291",2.74996933653132,5.5,1,1
"287","ecpB","b0292",1.06295989288247,1.5,1,1
"288","ecpA","b0293",6.83129743153726,6.5,1,1
"289","ecpR","b0294",0.0473682732137578,1,1,1
"290","ykgL","b0295",0.525484417810559,0.5,1,1
"291","ykgM","b0296",2.64784663029921,3,1,1
"292",NA,"b0297",0.040849082492843,1,1,NA
"293","insE1","b0298",9.45871952059005,9,1,1
"294","insF1","b0299",3.67839092467391,3.5,1,1
"295",NA,"b0300",0,0,1,NA
"296","rclC","b0301",0.0236841366068789,0.5,1,1
